focus_area,cluster,umap_x,umap_y,specialty
leber congenital amaurosis 10,6,1.0580007,6.527136,Neurology & Autonomic Disorders
spondyloepimetaphyseal dysplasia matrilin-3 related,17,0.050010495,1.4021297,Neurology & Genetic Disorders
alopecia macular degeneration growth retardation,0,2.0139992,2.3040156,Genetic & Rare Diseases
meningioma,17,-0.19320719,1.9500077,Neurology & Genetic Disorders
progressive hemifacial atrophy,8,5.6203723,0.09149246,General Medicine & Common Conditions
hawkinsinuria,5,4.684793,3.6121936,Nephrology & Rheumatology
spinocerebellar ataxia 14,17,0.025910938,1.4002657,Neurology & Genetic Disorders
spastic paraplegia 17,1,3.4535708,0.4908261,Genetic & Rare Diseases
peho syndrome,13,0.22701308,5.024816,Infectious Diseases & Oncology
pelvic dysplasia arthrogryposis of lower limbs,12,2.7006135,1.5460056,Immunology & Hematology
oral leukoplakia,7,1.2457466,0.73810285,Genetic & Rare Diseases
oral lichen planus,7,1.004327,0.5936196,Genetic & Rare Diseases
ollier disease,1,3.4741914,0.22024632,Genetic & Rare Diseases
bare lymphocyte syndrome,11,3.2028637,1.1499506,Neurology & Movement Disorders
otodental dysplasia,17,2.6401699,6.7454963,Neurology & Genetic Disorders
"crigler najjar syndrome, type 1",8,6.480164,0.43262646,General Medicine & Common Conditions
x-linked charcot-marie-tooth disease type 3,6,0.18685798,2.4415438,Neurology & Autonomic Disorders
2-methylbutyryl-coa dehydrogenase deficiency,0,1.7918586,2.9354136,Genetic & Rare Diseases
exstrophy of the bladder,12,1.2022808,1.5769962,Immunology & Hematology
long qt syndrome,12,2.1408944,1.5040513,Immunology & Hematology
central serous chorioretinopathy,0,-0.19408771,6.6204295,Genetic & Rare Diseases
fanconi renotubular syndrome,2,3.6112676,7.633962,Neurology & Neuromuscular Disorders
19p13.12 microdeletion syndrome,2,4.878458,4.22068,Neurology & Neuromuscular Disorders
pretibial epidermolysis bullosa,12,2.4190378,1.9147043,Immunology & Hematology
dihydropyrimidinase deficiency,6,0.17878148,2.0407043,Neurology & Autonomic Disorders
radio-ulnar synostosis type 1,12,2.1372724,1.0261326,Immunology & Hematology
hemifacial microsomia,17,0.7438877,1.552112,Neurology & Genetic Disorders
spondyloepimetaphyseal dysplasia x-linked with mental deterioration,15,4.9620433,4.6479774,Metabolic & Kidney Disorders
"nystagmus, congenital motor, autosomal recessive",3,6.5656157,5.3933196,General Medicine & Mixed Conditions
n-acetylglutamate synthetase deficiency,15,4.633277,4.4614573,Metabolic & Kidney Disorders
hemifacial hyperplasia strabismus,15,4.156711,4.7837186,Metabolic & Kidney Disorders
hypochromic microcytic anemia with iron overload,12,1.563315,2.086332,Immunology & Hematology
cockayne syndrome type iii,12,2.614703,2.9050097,Immunology & Hematology
nail-patella syndrome,0,0.4551902,4.15945,Genetic & Rare Diseases
21-hydroxylase deficiency,0,-0.17110088,3.4309475,Genetic & Rare Diseases
urachal cancer,1,3.95681,0.20405433,Genetic & Rare Diseases
22q11.2 duplication syndrome,17,0.06212717,2.0939195,Neurology & Genetic Disorders
treacher collins syndrome 3,1,4.207587,-0.044020943,Genetic & Rare Diseases
carbon baby syndrome,12,2.8846636,1.5839775,Immunology & Hematology
corpus callosum agenesis double urinary collecting,15,5.050875,4.648865,Metabolic & Kidney Disorders
microgastria limb reduction defect,12,2.3636184,3.4609873,Immunology & Hematology
"deafness, autosomal dominant nonsyndromic sensorineural 22",17,1.1487406,4.260297,Neurology & Genetic Disorders
arginase deficiency,0,1.5531253,4.431483,Genetic & Rare Diseases
his bundle tachycardia,1,3.2692945,0.2768134,Genetic & Rare Diseases
al gazali sabrinathan nair syndrome,12,1.2930447,1.4907643,Immunology & Hematology
schneckenbecken dysplasia,14,8.839866,4.463887,Miscellaneous & Ethics
acrocephalopolydactylous dysplasia,1,3.3378139,0.98322093,Genetic & Rare Diseases
hydrops fetalis,3,7.3860784,4.678324,General Medicine & Mixed Conditions
cushing disease,14,7.9853334,4.779449,Miscellaneous & Ethics
jensen syndrome,8,6.0195465,1.3685992,General Medicine & Common Conditions
nestor-guillermo progeria syndrome,15,4.1725435,4.691641,Metabolic & Kidney Disorders
familial mediterranean fever,8,4.783039,1.7265458,General Medicine & Common Conditions
joubert syndrome 2,0,1.4492537,2.9601758,Genetic & Rare Diseases
deafness nephritis anorectal malformation,17,1.2161007,2.192973,Neurology & Genetic Disorders
symmetrical thalamic calcifications,10,5.050408,6.374069,Pediatrics & Developmental Disorders
mucolipidosis iii alpha/beta,1,3.3574674,1.0465652,Genetic & Rare Diseases
chitayat meunier hodgkinson syndrome,10,8.045141,6.4910746,Pediatrics & Developmental Disorders
hairy nose tip,15,5.0903397,3.8527524,Metabolic & Kidney Disorders
ribbing disease,5,2.7213888,7.6307273,Nephrology & Rheumatology
phosphoglycerate mutase deficiency,8,6.0343337,0.9636974,General Medicine & Common Conditions
miles-carpenter x-linked mental retardation syndrome,7,0.4888722,6.347526,Genetic & Rare Diseases
"limb-girdle muscular dystrophy, type 2g",0,3.730827,4.846259,Genetic & Rare Diseases
porencephaly cerebellar hypoplasia internal malformations,10,4.5633063,5.3636613,Pediatrics & Developmental Disorders
familial hypocalciuric hypercalcemia type 1,9,3.2217474,5.806764,Genetic & Rare Diseases
hurlerscheie syndrome,1,2.3838716,2.9459536,Genetic & Rare Diseases
pyruvate dehydrogenase deficiency,8,6.16697,0.50840557,General Medicine & Common Conditions
"craniometaphyseal dysplasia, autosomal dominant",9,4.1737857,5.822649,Genetic & Rare Diseases
mulibrey nanism,8,6.035191,0.866622,General Medicine & Common Conditions
ainhum,16,6.6723876,3.6060283,Gastroenterology & Infectious Diseases
desmoplastic small round cell tumor,15,3.773294,7.1774907,Metabolic & Kidney Disorders
kallmann syndrome,1,4.865059,0.44011277,Genetic & Rare Diseases
skin fragility-woolly hair-palmoplantar keratoderma syndrome,2,4.808092,6.002915,Neurology & Neuromuscular Disorders
congenital diaphragmatic hernia,1,5.0533175,0.42465103,Genetic & Rare Diseases
pilomatrixoma,6,-0.17291398,6.7900963,Neurology & Autonomic Disorders
leber congenital amaurosis 15,1,1.2401954,2.9439895,Genetic & Rare Diseases
hereditary vascular retinopathy,14,8.951313,4.380813,Miscellaneous & Ethics
tranebjaerg svejgaard syndrome,7,1.5199864,1.3802254,Genetic & Rare Diseases
ewing's family of tumors,12,3.6683426,5.972707,Immunology & Hematology
congenital contractural arachnodactyly,17,0.20103694,1.5251484,Neurology & Genetic Disorders
geographic tongue,0,2.3066938,2.86481,Genetic & Rare Diseases
synovial chondromatosis,10,7.954095,6.4202785,Pediatrics & Developmental Disorders
mucopolysaccharidosis type vi,7,6.1978884,1.6035765,Genetic & Rare Diseases
congenital laryngeal palsy,1,2.6818306,6.7561026,Genetic & Rare Diseases
alopecia totalis,0,4.498072,4.1409245,Genetic & Rare Diseases
autosomal dominant compelling helio ophthalmic outburst syndrome,8,6.2662697,0.018755665,General Medicine & Common Conditions
opitz g/bbb syndrome,12,2.7701929,1.305315,Immunology & Hematology
split hand/foot malformation x-linked,0,1.8310707,5.8891764,Genetic & Rare Diseases
potassium aggravated myotonia,1,1.5347943,2.7587962,Genetic & Rare Diseases
papillon lefevre syndrome,7,0.49427807,1.5941601,Genetic & Rare Diseases
aplasia cutis congenita of limbs recessive,0,1.2811941,3.4666476,Genetic & Rare Diseases
giant platelet syndrome,13,2.6885939,6.75261,Infectious Diseases & Oncology
multiple pterygium syndrome lethal type,1,4.0082717,0.2861829,Genetic & Rare Diseases
glass-chapman-hockley syndrome,15,3.9607723,5.024532,Metabolic & Kidney Disorders
limb deficiencies distal with micrognathia,13,-0.40679508,4.718624,Infectious Diseases & Oncology
pallister-killian mosaic syndrome,3,5.9113345,5.1777377,General Medicine & Mixed Conditions
coach syndrome,16,6.798417,4.4463143,Gastroenterology & Infectious Diseases
hypotrichosis simplex,17,1.4414732,1.7905805,Neurology & Genetic Disorders
loose anagen hair syndrome,1,3.423905,0.03887955,Genetic & Rare Diseases
cleft hand absent tibia,0,1.2127836,3.627423,Genetic & Rare Diseases
chronic hiccups,7,1.369013,4.381298,Genetic & Rare Diseases
joubert syndrome,0,3.3632364,2.9913883,Genetic & Rare Diseases
"blepharophimosis, ptosis, and epicanthus inversus syndrome type 1",7,2.9090898,2.233445,Genetic & Rare Diseases
frontonasal dysplasia,12,2.7933538,2.2807856,Immunology & Hematology
oligoastrocytoma,7,1.5112162,1.2285029,Genetic & Rare Diseases
perry syndrome,11,4.2424273,3.1040776,Neurology & Movement Disorders
hereditary lymphedema type ii,7,1.6657381,5.0818563,Genetic & Rare Diseases
blastomycosis,11,3.107028,2.876557,Neurology & Movement Disorders
xk aprosencephaly,17,-0.3936929,6.495124,Neurology & Genetic Disorders
familial hypertrophic cardiomyopathy,12,1.9459317,2.188866,Immunology & Hematology
neutropenia chronic familial,7,0.7006277,3.910224,Genetic & Rare Diseases
bork stender schmidt syndrome,7,0.94696033,0.55946606,Genetic & Rare Diseases
dicer1-related pleuropulmonary blastoma cancer predisposition syndrome,7,0.78875077,1.5311567,Genetic & Rare Diseases
unna-thost palmoplantar keratoderma,17,0.08100114,1.4200499,Neurology & Genetic Disorders
phaeohyphomycosis,10,1.8455433,5.312986,Pediatrics & Developmental Disorders
acrofacial dysostosis catania type,4,-0.36416122,6.499741,Genetic & Rare Diseases
split hand urinary anomalies spina bifida,12,2.1934476,1.0557964,Immunology & Hematology
spondylometaphyseal dysplasia corner fracture type,12,2.3891354,2.051111,Immunology & Hematology
bamforth syndrome,7,1.5429196,1.2265607,Genetic & Rare Diseases
acquired hemophilia,12,2.067384,2.3353176,Immunology & Hematology
chronic progressive external ophthalmoplegia,7,1.3190597,0.8139291,Genetic & Rare Diseases
scot deficiency,17,0.58350897,1.5595984,Neurology & Genetic Disorders
adrenocortical carcinoma,7,1.7264664,1.2145268,Genetic & Rare Diseases
afibrinogenemia,0,1.8719535,2.3580284,Genetic & Rare Diseases
retinoschisis autosomal dominant,17,0.20525292,1.4885452,Neurology & Genetic Disorders
dennis fairhurst moore syndrome,0,1.8320395,2.7013874,Genetic & Rare Diseases
buerger disease,7,1.7661971,1.1915705,Genetic & Rare Diseases
game friedman paradice syndrome,0,2.7972865,2.301344,Genetic & Rare Diseases
"early-onset myopathy, areflexia, respiratory distress and dysphagia",7,1.5139943,1.094026,Genetic & Rare Diseases
familial hypercholesterolemia,17,0.3720338,1.5456613,Neurology & Genetic Disorders
holzgreve syndrome,12,3.527588,5.647283,Immunology & Hematology
rhabdomyosarcoma alveolar,1,4.0792503,0.013046387,Genetic & Rare Diseases
nodular regenerative hyperplasia,7,0.4693852,1.4752493,Genetic & Rare Diseases
proud syndrome,6,0.5637407,5.59556,Neurology & Autonomic Disorders
accessory navicular bone,13,-0.41491613,4.6124644,Infectious Diseases & Oncology
pseudopseudohypoparathyroidism,7,1.3473666,1.2113515,Genetic & Rare Diseases
hardikar syndrome,12,2.5387747,1.0752932,Immunology & Hematology
graham boyle troxell syndrome,7,0.19454244,1.4768443,Genetic & Rare Diseases
alzheimer disease,17,0.1892193,1.2236245,Neurology & Genetic Disorders
x-linked visceral heterotaxy 1,9,3.682546,5.96095,Genetic & Rare Diseases
split hand foot malformation,17,2.2936363,3.0139294,Neurology & Genetic Disorders
al amyloidosis,0,7.0570655,4.3801303,Genetic & Rare Diseases
gracile syndrome,12,2.2848003,1.7919943,Immunology & Hematology
muscular atrophy ataxia retinitis pigmentosa and diabetes mellitus,7,1.6187084,0.6307647,Genetic & Rare Diseases
mucolipidosis type 4,17,0.18661657,1.2657402,Neurology & Genetic Disorders
spinocerebellar ataxia 12,12,1.4267323,1.4035604,Immunology & Hematology
"leigh syndrome, french canadian type",17,-0.38175386,6.386915,Neurology & Genetic Disorders
triple a syndrome,7,-0.26314524,1.9272478,Genetic & Rare Diseases
spondylocarpotarsal synostosis syndrome,7,1.1846744,1.605449,Genetic & Rare Diseases
stenotrophomonas maltophilia infection,7,1.0447724,1.1520141,Genetic & Rare Diseases
familial mixed cryoglobulinemia,7,0.72384375,1.5192738,Genetic & Rare Diseases
transient bullous dermolysis of the newborn,6,2.5887268,4.092164,Neurology & Autonomic Disorders
ulnar-mammary syndrome,1,3.3583133,-0.052321628,Genetic & Rare Diseases
asperger syndrome,13,-0.29721543,3.9882314,Infectious Diseases & Oncology
ovarian carcinosarcoma,12,1.8598142,1.6585317,Immunology & Hematology
chromosome 1p deletion,12,2.3718832,1.9746315,Immunology & Hematology
groenouw type i corneal dystrophy,7,0.96440125,0.58108485,Genetic & Rare Diseases
simosa cranio facial syndrome,12,2.2776177,2.4055376,Immunology & Hematology
gastric lymphoma,1,3.256992,1.5390167,Genetic & Rare Diseases
"macular dystrophy, concentric annular",12,2.138059,2.5913517,Immunology & Hematology
telfer sugar jaeger syndrome,17,0.7108754,1.4468178,Neurology & Genetic Disorders
spastic diplegia cerebral palsy,7,3.4364421,5.4802213,Genetic & Rare Diseases
ameloonychohypohidrotic syndrome,12,2.5954635,1.9106305,Immunology & Hematology
leukoencephalopathy - dystonia - motor neuropathy,1,3.694914,3.0820813,Genetic & Rare Diseases
epidermolysis bullosa,12,3.166773,0.10104319,Immunology & Hematology
brooks wisniewski brown syndrome,17,-0.328452,3.6389818,Neurology & Genetic Disorders
"usher syndrome, type 1c",17,-0.38683245,6.4562235,Neurology & Genetic Disorders
herrmann syndrome,12,5.245642,0.8703482,Immunology & Hematology
nodular nonsuppurative panniculitis,12,2.3630662,1.4133449,Immunology & Hematology
dentinogenesis imperfecta type 2,13,0.7777455,5.1907153,Infectious Diseases & Oncology
"heart-hand syndrome, spanish type",11,3.5844417,2.1057742,Neurology & Movement Disorders
galactose epimerase deficiency,12,2.450114,1.8168415,Immunology & Hematology
granulomatous amebic encephalitis,12,1.5795563,2.1154046,Immunology & Hematology
mitochondrial neurogastrointestinal encephalopathy syndrome,12,1.8816376,1.2986927,Immunology & Hematology
"larynx, congenital partial atresia of",7,1.0430846,1.0434697,Genetic & Rare Diseases
"gonadal dysgenesis, xx type",17,0.20485637,1.6925375,Neurology & Genetic Disorders
pulmonary edema of mountaineers,12,2.3023007,1.3945503,Immunology & Hematology
"synostoses, tarsal, carpal, and digital",12,1.9546193,2.462699,Immunology & Hematology
hereditary fructose intolerance,17,0.075792395,1.4066696,Neurology & Genetic Disorders
congenital anosmia,0,1.5952686,3.1056628,Genetic & Rare Diseases
"deafness, dystonia, and cerebral hypomyelination",17,-0.22781765,1.9269882,Neurology & Genetic Disorders
johnston aarons schelley syndrome,12,1.9736769,1.6727701,Immunology & Hematology
large granular lymphocyte leukemia,13,0.8208093,5.12243,Infectious Diseases & Oncology
autosomal dominant partial epilepsy with auditory features,11,4.0952716,2.371732,Neurology & Movement Disorders
marfanoid hypermobility syndrome,12,1.275703,1.5973457,Immunology & Hematology
sudden sensorineural hearing loss,12,5.1926203,2.7836292,Immunology & Hematology
osteogenesis imperfecta type i,12,2.1873486,1.3200195,Immunology & Hematology
guanidinoacetate methyltransferase deficiency,12,3.1902287,1.0170399,Immunology & Hematology
best vitelliform macular dystrophy,17,0.77534306,4.264641,Neurology & Genetic Disorders
"rippling muscle disease, 1",13,-0.31223243,3.9894042,Infectious Diseases & Oncology
proximal symphalangism,13,-0.24671347,4.5354233,Infectious Diseases & Oncology
"muscular dystrophy, congenital, megaconial type",1,4.2315373,0.3469984,Genetic & Rare Diseases
"hydrocephalus, costovertebral dysplasia, and sprengel anomaly",6,0.0988567,2.3145132,Neurology & Autonomic Disorders
duane syndrome type 1,7,1.3324785,1.6775761,Genetic & Rare Diseases
retinal cone dystrophy 4,7,2.2482092,3.5795517,Genetic & Rare Diseases
"myasthenia gravis, limb-girdle",10,4.086349,2.5204692,Pediatrics & Developmental Disorders
pyomyositis,17,2.318407,2.9768538,Neurology & Genetic Disorders
"vestibulocochlear dysfunction, progressive",12,2.0024958,1.624399,Immunology & Hematology
baylisascaris infection,7,1.3985411,1.0639508,Genetic & Rare Diseases
lubinsky syndrome,7,3.6396024,-0.2248583,Genetic & Rare Diseases
medulloblastoma,12,1.9521747,1.293296,Immunology & Hematology
anencephaly,17,1.2390963,2.2006416,Neurology & Genetic Disorders
spinocerebellar ataxia 34,7,4.5770607,7.6237855,Genetic & Rare Diseases
microhydranencephaly,7,2.50286,3.3187659,Genetic & Rare Diseases
gerstmann-straussler-scheinker disease,17,2.4046338,1.5474583,Neurology & Genetic Disorders
fitz-hugh-curtis syndrome,7,1.3009075,3.7182462,Genetic & Rare Diseases
psoriatic juvenile idiopathic arthritis,8,6.952092,0.14610232,General Medicine & Common Conditions
diffuse mesangial sclerosis,0,-0.14308701,3.4512384,Genetic & Rare Diseases
renal hypouricemia,12,3.3966331,1.4497112,Immunology & Hematology
lipase deficiency combined,1,3.7140367,1.4043608,Genetic & Rare Diseases
keratolytic winter erythema,12,2.2836187,3.7640934,Immunology & Hematology
"frontotemporal dementia, ubiquitin-positive",17,-0.313649,3.5438888,Neurology & Genetic Disorders
glucocorticoid-remediable aldosteronism,12,3.1978629,1.7447176,Immunology & Hematology
hypopituitarism,13,-0.5754252,4.784488,Infectious Diseases & Oncology
lamellar ichthyosis,11,3.22761,0.93106645,Neurology & Movement Disorders
neutrophil-specific granule deficiency,0,1.3519896,3.3810802,Genetic & Rare Diseases
pectus carinatum,12,1.5549742,2.0836802,Immunology & Hematology
charcot-marie-tooth disease type 2f,7,0.40520865,1.5398732,Genetic & Rare Diseases
adiposis dolorosa,17,0.17047884,1.6124632,Neurology & Genetic Disorders
axial spondylometaphyseal dysplasia,12,2.5968943,2.2909403,Immunology & Hematology
chronic active epstein-barr virus infection,12,3.01782,2.110808,Immunology & Hematology
optic atrophy 1 and deafness,17,-0.3233935,3.5572817,Neurology & Genetic Disorders
potocki-shaffer syndrome,9,-0.07341484,3.37806,Genetic & Rare Diseases
charcot-marie-tooth disease type 1b,12,1.2204754,2.2003005,Immunology & Hematology
taurodontia absent teeth sparse hair,6,-0.04653953,2.5546618,Neurology & Autonomic Disorders
ichthyosis-mental retardation syndrome with large keratohyalin granules in the skin,0,-0.16552836,3.3746662,Genetic & Rare Diseases
isolated levocardia,12,1.910415,2.7211921,Immunology & Hematology
chondrodysplasia acromesomelic with genital anomalies,7,1.0705196,1.1715003,Genetic & Rare Diseases
pitt-hopkins-like syndrome,12,2.3230224,2.0105374,Immunology & Hematology
coats disease,5,3.386691,2.199156,Nephrology & Rheumatology
"hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",12,4.6635685,7.677478,Immunology & Hematology
cornelia de lange syndrome,6,0.27892783,2.5775716,Neurology & Autonomic Disorders
encephalocraniocutaneous lipomatosis,12,2.258894,1.9195713,Immunology & Hematology
norum disease,17,0.5880547,4.187735,Neurology & Genetic Disorders
amyloidosis aa,10,0.4003552,3.719053,Pediatrics & Developmental Disorders
brachydactyly type c,7,1.3895959,1.6094977,Genetic & Rare Diseases
say-field-coldwell syndrome,1,3.6907954,0.61468977,Genetic & Rare Diseases
tetralogy of fallot,7,1.8591809,1.0867015,Genetic & Rare Diseases
x-linked creatine deficiency,17,-0.23203239,3.162389,Neurology & Genetic Disorders
neuronal ceroid lipofuscinosis 5,7,1.8815246,5.186987,Genetic & Rare Diseases
progressive transformation of germinal centers,0,1.4469922,3.2266064,Genetic & Rare Diseases
barraquer-simons syndrome,12,2.3660512,1.315207,Immunology & Hematology
chromosome 4q deletion,7,0.96859986,0.54746175,Genetic & Rare Diseases
kallmann syndrome 3,7,0.87734,1.1610918,Genetic & Rare Diseases
haim-munk syndrome,11,2.979854,2.5788379,Neurology & Movement Disorders
"temporal epilepsy, familial",12,3.123471,1.6505066,Immunology & Hematology
"neuropathy, distal hereditary motor, jerash type",12,1.4380425,3.5378065,Immunology & Hematology
idiopathic basal ganglia calcification childhood-onset,17,1.7449578,1.79566,Neurology & Genetic Disorders
neutropenia lethal congenital with eosinophilia,12,2.5944512,1.9300848,Immunology & Hematology
pontocerebellar hypoplasia type 3,7,2.6155732,3.415104,Genetic & Rare Diseases
syringoma,3,3.7588525,2.9666746,General Medicine & Mixed Conditions
human t-cell leukemia virus type 1,12,3.0948951,1.5820543,Immunology & Hematology
aicardi-goutieres syndrome type 2,17,-0.106440544,2.4099076,Neurology & Genetic Disorders
ovarian small cell carcinoma,11,3.1404479,0.97324914,Neurology & Movement Disorders
pigmented villonodular synovitis,1,1.2097787,3.0552185,Genetic & Rare Diseases
"intellectual disability, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, and obesity",7,1.2959089,3.7577658,Genetic & Rare Diseases
cerebrotendinous xanthomatosis,12,2.125115,1.4854015,Immunology & Hematology
hypohidrotic ectodermal dysplasia with immune deficiency,6,0.09965375,2.2515068,Neurology & Autonomic Disorders
tracheoesophageal fistula,0,1.8656068,5.9872828,Genetic & Rare Diseases
x-linked congenital stationary night blindness,0,1.5156262,2.1403415,Genetic & Rare Diseases
"camurati engelmann disease, type 2",17,2.3115213,3.183054,Neurology & Genetic Disorders
quinquaud's decalvans folliculitis,0,1.8800173,5.8970013,Genetic & Rare Diseases
diabetes insipidus nephrogenic mental retardation and intracerebral calcification,11,1.3232497,6.395174,Neurology & Movement Disorders
congenital myasthenic syndrome,11,2.838241,2.2235374,Neurology & Movement Disorders
leukonychia totalis,7,0.64084756,1.5074768,Genetic & Rare Diseases
limb-girdle muscular dystrophy type 2i,7,1.9110041,1.1341256,Genetic & Rare Diseases
beriberi,0,0.23882918,3.6794815,Genetic & Rare Diseases
x-linked charcot-marie-tooth disease type 5,13,1.0968076,3.0585673,Infectious Diseases & Oncology
bobble-head doll syndrome,12,2.0474503,1.6933699,Immunology & Hematology
platyspondylic lethal skeletal dysplasia torrance type,7,1.3706588,2.549135,Genetic & Rare Diseases
primary orthostatic tremor,12,2.0256593,1.562809,Immunology & Hematology
polyarteritis nodosa,0,2.3476005,3.6357038,Genetic & Rare Diseases
"ehlers-danlos syndrome, vascular type",7,1.4215132,0.98141354,Genetic & Rare Diseases
retinal cone dystrophy 1,1,0.71592605,3.7851236,Genetic & Rare Diseases
gm1 gangliosidosis,17,0.9803022,4.129677,Neurology & Genetic Disorders
chromosome 3p- syndrome,10,4.6181927,7.6206455,Pediatrics & Developmental Disorders
1q21.1 microdeletion syndrome,12,-0.3633355,6.446593,Immunology & Hematology
lymphedema and cerebral arteriovenous anomaly,11,2.508421,3.120064,Neurology & Movement Disorders
"neuropathy, hereditary motor and sensory, okinawa type",7,0.40502545,1.502847,Genetic & Rare Diseases
conotruncal heart malformations,12,1.204269,1.5722102,Immunology & Hematology
long qt syndrome 8,12,3.9329376,0.7417104,Immunology & Hematology
histidinuria renal tubular defect,12,2.6811438,3.9490895,Immunology & Hematology
camptodactyly syndrome guadalajara type 3,12,2.32206,1.6412865,Immunology & Hematology
morm syndrome,17,-0.24385662,3.3397305,Neurology & Genetic Disorders
thyroglossal tract cyst,11,4.051803,1.8525025,Neurology & Movement Disorders
hand and foot deformity with flat facies,11,1.1964294,6.437838,Neurology & Movement Disorders
proximal chromosome 18q deletion syndrome,12,2.5879653,1.5262991,Immunology & Hematology
neuronal ceroid lipofuscinosis,12,1.6388471,1.9807673,Immunology & Hematology
aicardi-goutieres syndrome type 4,7,1.2912252,0.8254088,Genetic & Rare Diseases
spinal muscular atrophy type 3,12,3.6683955,2.983207,Immunology & Hematology
laryngomalacia,17,-0.5081693,6.452497,Neurology & Genetic Disorders
"pituitary hormone deficiency, combined 2",17,-0.41582862,6.512633,Neurology & Genetic Disorders
multiple epiphyseal dysplasia 1,12,1.3905101,3.4362383,Immunology & Hematology
5q- syndrome,7,1.4892713,0.99486655,Genetic & Rare Diseases
malakoplakia,1,1.2880341,2.8158808,Genetic & Rare Diseases
mesomelic dwarfism cleft palate camptodactyly,12,3.1362395,0.9713605,Immunology & Hematology
prinzmetal's variant angina,12,2.5902805,1.0421685,Immunology & Hematology
arts syndrome,12,3.3432987,1.8888679,Immunology & Hematology
x-linked magnesium deficiency with epstein-barr virus infection and neoplasia,0,1.2290857,1.5676075,Genetic & Rare Diseases
pontocerebellar hypoplasia type 6,7,1.1969695,1.5791103,Genetic & Rare Diseases
"usher syndrome, type 2c",12,0.8381793,2.0555587,Immunology & Hematology
iridocorneal endothelial syndrome,1,3.6524706,0.950567,Genetic & Rare Diseases
duane syndrome type 2,12,2.7026467,1.8519257,Immunology & Hematology
abetalipoproteinemia,12,2.7126799,1.7272297,Immunology & Hematology
short limb dwarf lethal colavita kozlowski type,12,1.2482138,1.5403708,Immunology & Hematology
x-linked hypophosphatemia,17,0.062390484,1.4083498,Neurology & Genetic Disorders
22q11.2 deletion syndrome,7,-0.15923785,1.9757028,Genetic & Rare Diseases
adenoameloblastoma,7,0.5579192,2.2417707,Genetic & Rare Diseases
idiopathic juxtafoveal retinal telangiectasia,7,0.65187186,1.3544891,Genetic & Rare Diseases
glomerulonephritis with sparse hair and telangiectases,7,1.3627898,1.0261749,Genetic & Rare Diseases
frontometaphyseal dysplasia,5,4.361044,0.9870298,Nephrology & Rheumatology
ibids syndrome,12,2.1456194,1.8853513,Immunology & Hematology
selig benacerraf greene syndrome,12,3.9710171,5.9572353,Immunology & Hematology
benign paroxysmal positional vertigo,12,2.0459917,2.3360438,Immunology & Hematology
autoimmune autonomic ganglionopathy,6,0.17352903,2.5171742,Neurology & Autonomic Disorders
stuve-wiedemann syndrome,12,2.3332138,2.412903,Immunology & Hematology
lipodermatosclerosis,17,-0.2535263,3.2195094,Neurology & Genetic Disorders
inclusion body myopathy with early-onset paget disease and frontotemporal dementia,12,2.5332825,1.7143751,Immunology & Hematology
robinow syndrome,1,2.7286904,1.1863276,Genetic & Rare Diseases
htlv-1 associated myelopathy/tropical spastic paraparesis,11,2.8649983,2.2997978,Neurology & Movement Disorders
sapho syndrome,17,-0.14700948,2.5796335,Neurology & Genetic Disorders
leber congenital amaurosis 2,17,-0.49770397,6.4469604,Neurology & Genetic Disorders
amyloidosis familial visceral,7,1.3443879,0.7270527,Genetic & Rare Diseases
corneodermatoosseous syndrome,7,1.0856375,1.1686773,Genetic & Rare Diseases
osteodysplasia familial anderson type,7,1.9297551,1.0421122,Genetic & Rare Diseases
niemann-pick disease type a,17,-0.16141386,3.000635,Neurology & Genetic Disorders
wolffian tumor,1,1.3603333,2.7904873,Genetic & Rare Diseases
chromosome 6q deletion,13,-0.4960231,4.7735276,Infectious Diseases & Oncology
"emery-dreifuss muscular dystrophy, dominant type",7,0.8998028,1.2543223,Genetic & Rare Diseases
brachydactyly type a4,12,0.57673055,1.6893022,Immunology & Hematology
freiberg's disease,7,0.5303069,1.4938167,Genetic & Rare Diseases
bardet-biedl syndrome 2,17,-0.79528856,6.4507446,Neurology & Genetic Disorders
uhl anomaly,12,3.0606363,1.379126,Immunology & Hematology
pseudohypoaldosteronism type 2,11,3.4048834,0.35118797,Neurology & Movement Disorders
weyers acrofacial dysostosis,7,0.4694124,1.7594941,Genetic & Rare Diseases
autosomal dominant optic atrophy plus syndrome,0,1.3583056,3.6223114,Genetic & Rare Diseases
mondor disease,11,4.195903,3.0078828,Neurology & Movement Disorders
leucine-sensitive hypoglycemia of infancy,7,0.2687026,1.250882,Genetic & Rare Diseases
odonto onycho dysplasia with alopecia,6,-0.04079141,2.8492172,Neurology & Autonomic Disorders
kyrle disease,7,1.3141601,1.0554651,Genetic & Rare Diseases
carney complex,7,1.852095,1.831273,Genetic & Rare Diseases
pantothenate kinase-associated neurodegeneration,12,2.802498,2.0685387,Immunology & Hematology
chromosome 17q11.2 deletion syndrome,6,0.09266107,2.3195739,Neurology & Autonomic Disorders
erdheim-chester disease,7,1.2047405,1.5820801,Genetic & Rare Diseases
split hand split foot malformation autosomal recessive,1,4.028796,0.9565711,Genetic & Rare Diseases
