focus_area_norm,focus_area_simple,sample_count,focus_area_display,specialty,specialty_score,assignment_source,runner_up,runner_up_score,score_margin
encephalopathy,encephalopathy,4,Encephalopathy,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
encephaloceles,encephaloceles,4,Encephaloceles,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
cavernous malformation,cavernous malformation,4,Cavernous Malformation,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
acute disseminated encephalomyelitis,acute disseminated encephalomyelitis,4,Acute Disseminated Encephalomyelitis,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
aplasia cutis congenita,aplasia cutis congenita,4,Aplasia cutis congenita,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
acute febrile neutrophilic dermatosis,acute febrile neutrophilic dermatosis,4,Acute febrile neutrophilic dermatosis,Dermatology,0.3499999940395355,anchor_similarity,General & Preventive Medicine,0.0,0.3499999940395355
galloway-mowat syndrome,galloway mowat syndrome,4,Galloway-Mowat syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008026777,0.9919732231646776
erb-duchenne and dejerine-klumpke palsies,erb duchenne and dejerine klumpke palsies,4,Erb-Duchenne and Dejerine-Klumpke Palsies,General & Preventive Medicine,0.008661010302603245,fallback_default,Oncology,0.008388635,0.00027237553149461746
central pontine myelinolysis,central pontine myelinolysis,4,Central Pontine Myelinolysis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
gamma heavy chain disease,gamma heavy chain disease,4,Gamma heavy chain disease,General & Preventive Medicine,0.03915393352508545,fallback_default,Pulmonology & Respiratory,0.03484465,0.0043092817068099976
central cord syndrome,central cord syndrome,4,Central Cord Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008986848,0.9910131515935063
eisenmenger syndrome,eisenmenger syndrome,4,Eisenmenger syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
common variable immunodeficiency,common variable immunodeficiency,4,Common variable immunodeficiency,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
apraxia,apraxia,4,Apraxia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
arachnoid cysts,arachnoid cysts,4,Arachnoid Cysts,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
arachnoiditis,arachnoiditis,4,Arachnoiditis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
central pain syndrome,central pain syndrome,4,Central Pain Syndrome,Genetics & Rare Disorders,1.0,regex_override,Musculoskeletal & Orthopedics,0.096074596,0.9039254039525986
erythropoietic protoporphyria,erythropoietic protoporphyria,4,Erythropoietic protoporphyria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
arteriovenous malformation,arteriovenous malformation,4,Arteriovenous Malformation,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
acid lipase disease,acid lipase disease,4,Acid Lipase Disease,General & Preventive Medicine,0.048658594489097595,fallback_default,Pulmonology & Respiratory,0.04330323,0.005355365574359894
fibrous dysplasia,fibrous dysplasia,4,Fibrous dysplasia,Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
chiari malformation type 1,chiari malformation type 1,4,Chiari malformation type 1,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fahr's syndrome,fahr s syndrome,4,Fahr's Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
chronic inflammatory demyelinating polyneuropathy (cidp),chronic inflammatory demyelinating polyneuropathy cidp,4,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),Neurology & Neurosurgery,1.0,regex_override,Gastroenterology & Hepatology,0.03456818,0.9654318206012249
doyne honeycomb retinal dystrophy,doyne honeycomb retinal dystrophy,4,Doyne honeycomb retinal dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
axenfeld-rieger syndrome type 1,axenfeld rieger syndrome type 1,4,Axenfeld-Rieger syndrome type 1,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008010529,0.9919894710183144
corticobasal degeneration,corticobasal degeneration,4,Corticobasal Degeneration,General & Preventive Medicine,0.05993548408150673,fallback_default,General & Preventive Medicine,0.0,0.05993548408150673
"blepharophimosis, ptosis, and epicanthus inversus syndrome type 1",blepharophimosis ptosis and epicanthus inversus syndrome type 1,4,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 1",Genetics & Rare Disorders,1.0,regex_override,Neurology & Neurosurgery,0.009408347,0.9905916526913643
gerstmann's syndrome,gerstmann s syndrome,4,Gerstmann's Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.011358343,0.988641656935215
autosomal recessive polycystic kidney disease,autosomal recessive polycystic kidney disease,4,Autosomal recessive polycystic kidney disease,Nephrology & Urology,1.0,regex_override,Genetics & Rare Disorders,0.41279238,0.5872076153755188
"craniometaphyseal dysplasia, autosomal recessive type",craniometaphyseal dysplasia autosomal recessive type,4,"Craniometaphyseal dysplasia, autosomal recessive type",Genetics & Rare Disorders,1.0,regex_override,General & Preventive Medicine,0.0,1.0
alpers' disease,alpers disease,4,Alpers' Disease,General & Preventive Medicine,0.06445026397705078,fallback_default,Pulmonology & Respiratory,0.057356864,0.0070933997631073
craniopharyngioma,craniopharyngioma,4,Craniopharyngioma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
diabetic neuropathy,diabetic neuropathy,4,Diabetic Neuropathy,Neurology & Neurosurgery,1.0,regex_override,Endocrinology & Diabetes,0.4,0.5999999940395355
craniosynostosis,craniosynostosis,4,Craniosynostosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
crest syndrome,crest syndrome,4,CREST syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
behr syndrome,behr syndrome,4,Behr syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
dandy-walker syndrome,dandy walker syndrome,4,Dandy-Walker Syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.009257706,0.9907422941178083
batten disease,batten disease,4,Batten Disease,General & Preventive Medicine,0.06588342040777206,fallback_default,Pulmonology & Respiratory,0.05863229,0.007251128554344177
familial periodic paralyses,familial periodic paralyses,4,Familial Periodic Paralyses,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
developmental dyspraxia,developmental dyspraxia,4,Developmental Dyspraxia,General & Preventive Medicine,0.07757282257080078,fallback_default,General & Preventive Medicine,0.0,0.07757282257080078
glass-chapman-hockley syndrome,glass chapman hockley syndrome,4,Glass-Chapman-Hockley syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0065038423,0.993496157694608
felty's syndrome,felty s syndrome,4,Felty's syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
currarino triad,currarino triad,4,Currarino triad,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
desmoplastic infantile ganglioglioma,desmoplastic infantile ganglioglioma,4,Desmoplastic infantile ganglioglioma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
febrile seizures,febrile seizures,4,Febrile Seizures,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
familial hypercholesterolemia,familial hypercholesterolemia,4,Familial hypercholesterolemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
alpha-thalassemia,alpha thalassemia,4,Alpha-thalassemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
dermatitis herpetiformis: skin manifestation of celiac disease (for health care professionals),dermatitis herpetiformis skin manifestation of celiac disease for health care professionals,4,Dermatitis Herpetiformis: Skin Manifestation of Celiac Disease (For Health Care Professionals),Gastroenterology & Hepatology,1.0,regex_override,Gastroenterology & Hepatology,0.40015176,0.5998482406139374
alternating hemiplegia,alternating hemiplegia,4,Alternating Hemiplegia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
geographic tongue,geographic tongue,4,Geographic tongue,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
benign rolandic epilepsy (bre),benign rolandic epilepsy bre,4,Benign rolandic epilepsy (BRE),Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
deep brain stimulation for parkinson's disease,deep brain stimulation for parkinson s disease,4,Deep Brain Stimulation for Parkinson's Disease,Neurology & Neurosurgery,1.0,regex_override,Infectious Diseases,0.03616037,0.9638396315276623
chorea,chorea,4,Chorea,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
agenesis of the dorsal pancreas,agenesis of the dorsal pancreas,4,Agenesis of the dorsal pancreas,General & Preventive Medicine,0.04674038663506508,fallback_default,General & Preventive Medicine,0.0,0.04674038663506508
cerebro-oculo-facio-skeletal syndrome (cofs),cerebro oculo facio skeletal syndrome cofs,4,Cerebro-Oculo-Facio-Skeletal Syndrome (COFS),Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.005214958,0.994785042013973
agnosia,agnosia,4,Agnosia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
chandler's syndrome,chandler s syndrome,4,Chandler's syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
glossopharyngeal neuralgia,glossopharyngeal neuralgia,4,Glossopharyngeal Neuralgia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
adrenoleukodystrophy,adrenoleukodystrophy,4,Adrenoleukodystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
aicardi-goutieres syndrome disorder,aicardi goutieres syndrome disorder,4,Aicardi-Goutieres Syndrome Disorder,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0076662404,0.9923337595537305
diffuse gastric cancer,diffuse gastric cancer,4,Diffuse gastric cancer,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
dementia with lewy bodies,dementia with lewy bodies,4,Dementia With Lewy Bodies,Neurology & Neurosurgery,1.0,regex_override,General & Preventive Medicine,0.0,1.0
tetrasomy x,tetrasomy x,3,Tetrasomy X,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
15q11.2 microdeletion,15q11 2 microdeletion,3,15q11.2 microdeletion,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
epidermolytic ichthyosis,epidermolytic ichthyosis,3,Epidermolytic ichthyosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"usher syndrome, type 1e",usher syndrome type 1e,3,"Usher syndrome, type 1E",Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008007389,0.991992611438036
anonychia congenita,anonychia congenita,3,Anonychia congenita,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"usher syndrome, type 2c",usher syndrome type 2c,3,"Usher syndrome, type 2C",Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008007389,0.991992611438036
"usher syndrome, type 1c",usher syndrome type 1c,3,"Usher syndrome, type 1C",Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0081326375,0.9918673625215888
noonan syndrome 6,noonan syndrome 6,3,Noonan syndrome 6,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.013179254,0.9868207462131977
noonan syndrome 3,noonan syndrome 3,3,Noonan syndrome 3,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.013179254,0.9868207462131977
proximal symphalangism,proximal symphalangism,3,Proximal symphalangism,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
ovarian carcinosarcoma,ovarian carcinosarcoma,3,Ovarian carcinosarcoma,Obstetrics & Gynecology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
epithelial basement membrane corneal dystrophy,epithelial basement membrane corneal dystrophy,3,Epithelial basement membrane corneal dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
precocious puberty,precocious puberty,3,Precocious puberty,General & Preventive Medicine,0.08996542543172836,fallback_default,General & Preventive Medicine,0.0,0.08996542543172836
valinemia,valinemia,3,Valinemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
pachydermoperiostosis,pachydermoperiostosis,3,Pachydermoperiostosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
preauricular sinus,preauricular sinus,3,Preauricular sinus,Otolaryngology & ENT,1.0,regex_override,General & Preventive Medicine,0.0,1.0
noonan syndrome 4,noonan syndrome 4,3,Noonan syndrome 4,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.013179254,0.9868207462131977
intravenous leiomyomatosis,intravenous leiomyomatosis,3,Intravenous leiomyomatosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
femoral facial syndrome,femoral facial syndrome,3,Femoral facial syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008833332,0.9911666680127382
bronchiolitis obliterans,bronchiolitis obliterans,3,Bronchiolitis obliterans,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"usher syndrome, type 1b",usher syndrome type 1b,3,"Usher syndrome, type 1B",Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008311463,0.9916885374113917
htlv-1 associated myelopathy/tropical spastic paraparesis,htlv 1 associated myelopathy tropical spastic paraparesis,3,HTLV-1 associated myelopathy/tropical spastic paraparesis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
primrose syndrome,primrose syndrome,3,Primrose syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
trismus-pseudocamptodactyly syndrome,trismus pseudocamptodactyly syndrome,3,Trismus-pseudocamptodactyly syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
hypotrichosis simplex,hypotrichosis simplex,3,Hypotrichosis simplex,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
orofaciodigital syndrome 1,orofaciodigital syndrome 1,3,Orofaciodigital syndrome 1,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.012861956,0.9871380440890789
hypoplastic left heart syndrome,hypoplastic left heart syndrome,3,Hypoplastic left heart syndrome,Cardiology & Vascular,1.0,regex_override,Genetics & Rare Disorders,0.4,0.5999999940395355
imerslund-grasbeck syndrome,imerslund grasbeck syndrome,3,Imerslund-Grasbeck syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008026777,0.9919732231646776
chronic eosinophilic leukemia,chronic eosinophilic leukemia,3,Chronic Eosinophilic Leukemia,Oncology,1.0,regex_override,General & Preventive Medicine,0.042478934,0.957521066069603
familial hemiplegic migraine type 1,familial hemiplegic migraine type 1,3,Familial hemiplegic migraine type 1,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
transposition of the great arteries,transposition of the great arteries,3,Transposition of the great arteries,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
non-involuting congenital hemangioma,non involuting congenital hemangioma,3,Non-involuting congenital hemangioma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
progressive bulbar palsy,progressive bulbar palsy,3,Progressive bulbar palsy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hypolipoproteinemia,hypolipoproteinemia,3,Hypolipoproteinemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
tracheoesophageal fistula,tracheoesophageal fistula,3,Tracheoesophageal fistula,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
anaplastic astrocytoma,anaplastic astrocytoma,3,Anaplastic astrocytoma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
familial hemiplegic migraine type 2,familial hemiplegic migraine type 2,3,Familial hemiplegic migraine type 2,Neurology & Neurosurgery,0.30000001192092896,anchor_similarity,General & Preventive Medicine,0.0,0.30000001192092896
alpha-thalassemia x-linked intellectual disability syndrome,alpha thalassemia x linked intellectual disability syndrome,3,Alpha-thalassemia x-linked intellectual disability syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0062519466,0.9937480534426868
progressive hemifacial atrophy,progressive hemifacial atrophy,3,Progressive hemifacial atrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
progressive transformation of germinal centers,progressive transformation of germinal centers,3,Progressive transformation of germinal centers,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
tyrosinemia type 1,tyrosinemia type 1,3,Tyrosinemia type 1,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
hyperprolinemia type 2,hyperprolinemia type 2,3,Hyperprolinemia type 2,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
occipital horn syndrome,occipital horn syndrome,3,Occipital horn syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008136959,0.9918630411848426
budd-chiari syndrome,budd chiari syndrome,3,Budd-Chiari syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008175662,0.9918243382126093
intellectual disability-developmental delay-contractures syndrome,intellectual disability developmental delay contractures syndrome,3,Intellectual disability-developmental delay-contractures syndrome,Genetics & Rare Disorders,1.0,regex_override,Pediatrics & Development,0.044819165,0.9551808349788189
ullrich congenital muscular dystrophy,ullrich congenital muscular dystrophy,3,Ullrich congenital muscular dystrophy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
trichotillomania,trichotillomania,3,Trichotillomania,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
intervertebral disc disease,intervertebral disc disease,3,Intervertebral disc disease,General & Preventive Medicine,0.04559391364455223,fallback_default,Pulmonology & Respiratory,0.040575847,0.005018066614866257
unna-thost palmoplantar keratoderma,unna thost palmoplantar keratoderma,3,Unna-Thost palmoplantar keratoderma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
fanconi bickel syndrome,fanconi bickel syndrome,3,Fanconi Bickel syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008136959,0.9918630411848426
thyroglossal tract cyst,thyroglossal tract cyst,3,Thyroglossal tract cyst,General & Preventive Medicine,0.05139760300517082,fallback_default,Nephrology & Urology,0.04625801,0.005139593034982681
coach syndrome,coach syndrome,3,COACH syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
osteomesopyknosis,osteomesopyknosis,3,Osteomesopyknosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
anophthalmia plus syndrome,anophthalmia plus syndrome,3,Anophthalmia plus syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008543412,0.9914565877988935
pseudopelade of brocq,pseudopelade of brocq,3,Pseudopelade of Brocq,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
sleep deprivation and deficiency,sleep deprivation and deficiency,3,Sleep Deprivation and Deficiency,General & Preventive Medicine,0.04536570981144905,fallback_default,Otolaryngology & ENT,0.043551248,0.0018144622445106506
diabetes mellitus type 1,diabetes mellitus type 1,3,Diabetes mellitus type 1,Endocrinology & Diabetes,0.5595787167549133,anchor_similarity,General & Preventive Medicine,0.0,0.5595787167549133
axial spondylometaphyseal dysplasia,axial spondylometaphyseal dysplasia,3,Axial spondylometaphyseal dysplasia,Genetics & Rare Disorders,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
sneddon syndrome,sneddon syndrome,3,Sneddon syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
malaria,malaria,3,Malaria,Infectious Diseases,1.0,regex_override,General & Preventive Medicine,0.0,1.0
mulibrey nanism,mulibrey nanism,3,Mulibrey Nanism,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
coronary heart disease risk factors,coronary heart disease risk factors,3,Coronary Heart Disease Risk Factors,Cardiology & Vascular,1.0,regex_override,Obstetrics & Gynecology,0.04255099,0.9574490115046501
multicentric reticulohistiocytosis,multicentric reticulohistiocytosis,3,Multicentric reticulohistiocytosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
lymphocytic vasculitis,lymphocytic vasculitis,3,Lymphocytic vasculitis,Immunology & Rheumatology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
lymphocytic infiltrate of jessner,lymphocytic infiltrate of jessner,3,Lymphocytic infiltrate of Jessner,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
multiple endocrine neoplasia type 2a,multiple endocrine neoplasia type 2a,3,Multiple endocrine neoplasia type 2A,General & Preventive Medicine,0.04577231407165527,fallback_default,General & Preventive Medicine,0.0,0.04577231407165527
lyme disease,lyme disease,3,Lyme Disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
lucey-driscoll syndrome,lucey driscoll syndrome,3,Lucey-Driscoll syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
dominant optic atrophy,dominant optic atrophy,3,Dominant optic atrophy,Ophthalmology,1.0,regex_override,General & Preventive Medicine,0.0,1.0
spinocerebellar ataxia 11,spinocerebellar ataxia 11,3,Spinocerebellar ataxia 11,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
muscle eye brain disease,muscle eye brain disease,3,Muscle eye brain disease,Neurology & Neurosurgery,1.0,regex_override,Neurology & Neurosurgery,0.42825502,0.571744978427887
lipoid proteinosis of urbach and wiethe,lipoid proteinosis of urbach and wiethe,3,Lipoid proteinosis of Urbach and Wiethe,General & Preventive Medicine,0.00896435882896185,fallback_default,Oncology,0.008682443,0.0002819159999489784
"crigler najjar syndrome, type 2",crigler najjar syndrome type 2,3,"Crigler Najjar syndrome, type 2",Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.008056972,0.9919430278241634
birt-hogg-dube syndrome,birt hogg dube syndrome,3,Birt-Hogg-Dube syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0066532954,0.9933467046357691
silicosis,silicosis,3,Silicosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
meningoencephalocele,meningoencephalocele,3,Meningoencephalocele,Neurology & Neurosurgery,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
mevalonic aciduria,mevalonic aciduria,3,Mevalonic aciduria,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
sclerosing mesenteritis,sclerosing mesenteritis,3,Sclerosing mesenteritis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
schistosomiasis,schistosomiasis,3,Schistosomiasis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
beta-thalassemia,beta thalassemia,3,Beta-thalassemia,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
microcystic adnexal carcinoma,microcystic adnexal carcinoma,3,Microcystic adnexal carcinoma,Oncology,1.0,regex_override,Genetics & Rare Disorders,0.0,1.0
severe combined immunodeficiency,severe combined immunodeficiency,3,Severe combined immunodeficiency,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
sapho syndrome,sapho syndrome,3,SAPHO syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
sexual and urologic problems of diabetes,sexual and urologic problems of diabetes,3,Sexual and Urologic Problems of Diabetes,Endocrinology & Diabetes,0.42229342460632324,anchor_similarity,Neurology & Neurosurgery,0.009641167,0.41265225782990456
birdshot chorioretinopathy,birdshot chorioretinopathy,3,Birdshot chorioretinopathy,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
shapiro syndrome,shapiro syndrome,3,Shapiro syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.01111024,0.98888976033777
mitochondrial complex iv deficiency,mitochondrial complex iv deficiency,3,Mitochondrial complex IV deficiency,General & Preventive Medicine,0.018696343526244164,fallback_default,General & Preventive Medicine,0.0,0.018696343526244164
megalocytic interstitial nephritis,megalocytic interstitial nephritis,3,Megalocytic interstitial nephritis,General & Preventive Medicine,0.052969854325056076,fallback_default,General & Preventive Medicine,0.0,0.052969854325056076
"megalencephaly, polymicrogyria, and hydrocephalus (mpph) syndrome",megalencephaly polymicrogyria and hydrocephalus mpph syndrome,3,"Megalencephaly, polymicrogyria, and hydrocephalus (MPPH) syndrome",Neurology & Neurosurgery,1.0,regex_override,Neurology & Neurosurgery,0.009278832,0.9907211679965258
dermatitis herpetiformis,dermatitis herpetiformis,3,Dermatitis herpetiformis,Dermatology,0.3499999940395355,anchor_similarity,General & Preventive Medicine,0.0,0.3499999940395355
barraquer-simons syndrome,barraquer simons syndrome,3,Barraquer-Simons syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.007937764,0.9920622361823916
sialidosis type i,sialidosis type i,3,Sialidosis type I,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
mycobacterium malmoense,mycobacterium malmoense,3,Mycobacterium Malmoense,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
limited cutaneous systemic sclerosis,limited cutaneous systemic sclerosis,3,Limited cutaneous systemic sclerosis,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
"limb-girdle muscular dystrophy, type 2c",limb girdle muscular dystrophy type 2c,3,"Limb-girdle muscular dystrophy, type 2C",General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
keratoconus,keratoconus,3,Keratoconus,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
koolen de vries syndrome,koolen de vries syndrome,3,Koolen de Vries syndrome,Genetics & Rare Disorders,1.0,regex_override,Nephrology & Urology,0.0069546904,0.9930453095585108
pyoderma gangrenosum,pyoderma gangrenosum,3,Pyoderma gangrenosum,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
pyle disease,pyle disease,3,Pyle disease,General & Preventive Medicine,0.0631067305803299,fallback_default,Pulmonology & Respiratory,0.056161206,0.006945524364709854
syndactyly type 3,syndactyly type 3,3,Syndactyly type 3,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
brachydactyly type b,brachydactyly type b,3,Brachydactyly type B,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
syringoma,syringoma,3,Syringoma,General & Preventive Medicine,0.0,fallback_default,Genetics & Rare Disorders,0.0,0.0
